x,y,value
1,Category 154,36
1,Category 155,38
1,Category 156,63
1,Category 157,50
1,Category 158,59
1,Category 159,65
1,Category 160,49
1,Category 161,19
1,Category 162,21
1,Category 163,38
1,Category 164,
1,Category 165,53
1,Category 166,34
1,Category 167,77
1,Category 168,
1,Category 169,68
1,Category 170,5
1,Category 171,
1,Category 172,86
1,Category 173,82
1,Category 174,26
1,Category 175,15
1,Category 176,1
1,Category 177,77
1,Category 178,17
1,Category 179,23
1,Category 180,68
1,Category 181,3
1,Category 182,24
1,Category 183,82
1,Category 184,95
1,Category 185,35
1,Category 186,69
1,Category 187,42
1,Category 188,27
1,Category 189,11
1,Category 190,97
1,Category 191,80
1,Category 192,
1,Category 193,
1,Category 194,
1,Category 195,96
1,Category 196,6
1,Category 197,89
1,Category 198,23
1,Category 199,
1,Category 200,15
1,Category 201,19
1,Category 202,
1,Category 203,82
1,Category 204,92
1,Category 205,80
1,Category 206,71
1,Category 207,81
1,Category 208,21
1,Category 209,78
1,Category 210,81
1,Category 211,
1,Category 212,
1,Category 213,93
1,Category 214,58
1,Category 215,
1,Category 216,92
1,Category 217,67
1,Category 218,96
1,Category 219,64
1,Category 220,47
1,Category 221,53
1,Category 222,83
1,Category 223,96
1,Category 224,61
1,Category 225,92
1,Category 226,31
1,Category 227,16
1,Category 228,
1,Category 229,49
1,Category 230,54
1,Category 231,99
1,Category 232,60
1,Category 233,51
1,Category 234,85
1,Category 235,91
1,Category 236,32
1,Category 237,50
1,Category 238,21
1,Category 239,25
1,Category 240,47
1,Category 241,
1,Category 242,96
1,Category 243,94
1,Category 244,91
1,Category 245,
1,Category 246,10
1,Category 247,
1,Category 248,56
1,Category 249,22
1,Category 250,62
1,Category 251,55
1,Category 252,69
1,Category 253,70
1,Category 254,51
1,Category 255,43
1,Category 256,
1,Category 257,71
1,Category 258,31
1,Category 259,47
1,Category 260,78
1,Category 261,34
1,Category 262,33
1,Category 263,58
1,Category 264,
1,Category 265,1
1,Category 266,10
1,Category 267,97
1,Category 268,91
1,Category 269,
1,Category 270,
1,Category 271,
1,Category 272,99
1,Category 273,62
1,Category 274,
1,Category 275,
1,Category 276,92
1,Category 277,80
1,Category 278,72
1,Category 279,81
1,Category 280,
1,Category 281,38
1,Category 282,94
1,Category 283,32
1,Category 284,
1,Category 285,50
1,Category 286,98
1,Category 287,56
1,Category 288,34
1,Category 289,9
1,Category 290,84
1,Category 291,78
1,Category 292,
1,Category 293,25
1,Category 294,59
1,Category 295,
1,Category 296,27
1,Category 297,32
1,Category 298,68
1,Category 299,
1,Category 300,72
1,Category 301,
1,Category 302,57
1,Category 303,73
1,Category 304,27
1,Category 305,55
1,Category 306,6
1,Category 307,87
1,Category 308,99
1,Category 309,8
1,Category 310,67
1,Category 311,2
1,Category 312,
1,Category 313,1
1,Category 314,67
1,Category 315,
1,Category 316,87
1,Category 317,62
1,Category 318,
1,Category 319,
1,Category 320,87
1,Category 321,4
1,Category 322,45
1,Category 323,17
1,Category 324,45
1,Category 325,1
1,Category 326,22
1,Category 327,14
1,Category 328,96
1,Category 329,17
1,Category 330,71
1,Category 331,87
1,Category 332,23
1,Category 333,25
1,Category 334,92
1,Category 335,80
1,Category 336,
1,Category 337,24
1,Category 338,14
1,Category 339,10
1,Category 340,68
1,Category 341,58
1,Category 342,
1,Category 343,
1,Category 344,72
1,Category 345,99
1,Category 346,42
1,Category 347,45
1,Category 348,90
1,Category 349,10
1,Category 350,37
1,Category 351,66
1,Category 352,28
1,Category 353,
1,Category 354,90
1,Category 355,10
1,Category 356,62
1,Category 357,84
1,Category 358,41
1,Category 359,85
1,Category 360,
1,Category 361,42
1,Category 362,
1,Category 363,2
1,Category 364,19
1,Category 365,62
1,Category 366,67
1,Category 367,13
1,Category 368,69
1,Category 369,22
1,Category 370,71
1,Category 371,7
1,Category 372,
1,Category 373,97
1,Category 374,2
1,Category 375,90
1,Category 376,46
1,Category 377,48
1,Category 378,37
1,Category 379,
1,Category 380,75
1,Category 381,14
1,Category 382,
1,Category 383,
1,Category 384,49
1,Category 385,2
1,Category 386,84
1,Category 387,
1,Category 388,25
1,Category 389,26
1,Category 390,39
1,Category 391,19
1,Category 392,80
1,Category 393,
1,Category 394,45
1,Category 395,
1,Category 396,57
1,Category 397,71
1,Category 398,86
1,Category 399,19
1,Category 400,
1,Category 401,47
1,Category 402,57
1,Category 403,65
1,Category 404,3
1,Category 405,20
1,Category 406,34
1,Category 407,16
1,Category 408,96
1,Category 409,93
1,Category 410,24
1,Category 411,
1,Category 412,40
1,Category 413,20
1,Category 414,
1,Category 415,16
1,Category 416,
1,Category 417,30
1,Category 418,
1,Category 419,59
1,Category 420,21
1,Category 421,28
1,Category 422,
1,Category 423,62
1,Category 424,24
1,Category 425,34
1,Category 426,50
1,Category 427,74
1,Category 428,
1,Category 429,51
1,Category 430,32
1,Category 431,
1,Category 432,76
1,Category 433,
1,Category 434,76
1,Category 435,22
1,Category 436,45
1,Category 437,80
1,Category 438,67
1,Category 439,
1,Category 440,46
1,Category 441,68
1,Category 442,41
1,Category 443,
1,Category 444,93
1,Category 445,59
1,Category 446,48
1,Category 447,78
1,Category 448,78
1,Category 449,37
1,Category 450,70
1,Category 451,12
1,Category 452,4
1,Category 453,19
1,Category 454,82
1,Category 455,41
1,Category 456,
1,Category 457,
1,Category 458,83
1,Category 459,87
1,Category 460,46
1,Category 461,81
1,Category 462,44
1,Category 463,73
1,Category 464,
1,Category 465,
1,Category 466,
1,Category 467,61
1,Category 468,54
1,Category 469,87
1,Category 470,59
1,Category 471,
1,Category 472,46
1,Category 473,
1,Category 474,84
1,Category 475,28
1,Category 476,42
1,Category 477,
1,Category 478,67
1,Category 479,54
1,Category 480,42
1,Category 481,
1,Category 482,61
1,Category 483,
1,Category 484,5
1,Category 485,59
1,Category 486,
1,Category 487,85
1,Category 488,55
1,Category 489,73
1,Category 490,83
1,Category 491,6
1,Category 492,91
1,Category 493,
1,Category 494,89
1,Category 495,30
1,Category 496,89
1,Category 497,21
1,Category 498,9
1,Category 499,8
1,Category 500,94
1,Category 501,74
1,Category 502,19
1,Category 503,35
1,Category 504,74
1,Category 505,2
1,Category 506,98
1,Category 507,52
1,Category 508,27
1,Category 509,47
1,Category 510,88
1,Category 511,
1,Category 512,
1,Category 513,54
1,Category 514,16
1,Category 515,88
1,Category 516,19
1,Category 517,
1,Category 518,13
1,Category 519,39
1,Category 520,60
1,Category 521,30
1,Category 522,80
1,Category 523,17
1,Category 524,94
1,Category 525,
1,Category 526,
1,Category 527,14
1,Category 528,60
1,Category 529,34
1,Category 530,95
1,Category 531,
1,Category 532,43
1,Category 533,91
1,Category 534,50
1,Category 535,
1,Category 536,15
1,Category 537,
1,Category 538,50
1,Category 539,60
1,Category 540,68
1,Category 541,69
1,Category 542,
1,Category 543,60
1,Category 544,50
1,Category 545,9
1,Category 546,
1,Category 547,77
1,Category 548,30
1,Category 549,7
1,Category 550,90
1,Category 551,10
1,Category 552,26
1,Category 553,71
1,Category 554,
1,Category 555,54
1,Category 556,59
1,Category 557,19
1,Category 558,
1,Category 559,2
1,Category 560,81
1,Category 561,75
1,Category 562,
1,Category 563,91
1,Category 564,31
1,Category 565,46
1,Category 566,22
1,Category 567,39
1,Category 568,37
1,Category 569,33
1,Category 570,
1,Category 571,87
1,Category 572,
1,Category 573,38
1,Category 574,57
1,Category 575,5
1,Category 576,76
1,Category 577,48
1,Category 578,64
1,Category 579,37
1,Category 580,
1,Category 581,86
1,Category 582,91
1,Category 583,2
1,Category 584,9
1,Category 585,8
1,Category 586,74
1,Category 587,73
1,Category 588,61
1,Category 589,64
1,Category 590,86
1,Category 591,65
1,Category 592,5
1,Category 593,50
1,Category 594,
1,Category 595,4
1,Category 596,97
1,Category 597,25
1,Category 598,31
1,Category 599,56
1,Category 600,
1,Category 601,45
1,Category 602,
1,Category 603,
1,Category 604,53
1,Category 605,
1,Category 606,12
1,Category 607,72
1,Category 608,48
1,Category 609,
1,Category 610,46
1,Category 611,89
1,Category 612,11
1,Category 613,41
1,Category 614,76
1,Category 615,62
1,Category 616,84
1,Category 617,99
1,Category 618,
1,Category 619,91
1,Category 620,71
1,Category 621,
1,Category 622,34
1,Category 623,34
1,Category 624,41
1,Category 625,
1,Category 626,
1,Category 627,70
1,Category 628,66
1,Category 629,14
1,Category 630,0
1,Category 631,58
1,Category 632,2
1,Category 633,81
1,Category 634,41
1,Category 635,73
1,Category 636,
1,Category 637,
1,Category 638,75
1,Category 639,17
1,Category 640,90
1,Category 641,91
1,Category 642,42
1,Category 643,14
1,Category 644,
1,Category 645,85
1,Category 646,94
1,Category 647,14
1,Category 648,10
1,Category 649,
1,Category 650,89
1,Category 651,89
1,Category 652,76
1,Category 653,
1,Category 654,
1,Category 655,50
1,Category 656,29
1,Category 657,
1,Category 658,49
1,Category 659,22
1,Category 660,6
1,Category 661,26
1,Category 662,50
1,Category 663,47
1,Category 664,40
1,Category 665,73
1,Category 666,
1,Category 667,32
1,Category 668,75
1,Category 669,40
1,Category 670,57
1,Category 671,
1,Category 672,51
1,Category 673,27
1,Category 674,52
1,Category 675,28
1,Category 676,27
1,Category 677,93
1,Category 678,93
1,Category 679,31
1,Category 680,
1,Category 681,
1,Category 682,
1,Category 683,
1,Category 684,94
1,Category 685,68
1,Category 686,
1,Category 687,36
1,Category 688,51
1,Category 689,86
1,Category 690,95
1,Category 691,
1,Category 692,69
1,Category 693,42
1,Category 694,30
1,Category 695,
1,Category 696,
1,Category 697,52
1,Category 698,56
1,Category 699,45
1,Category 700,79
1,Category 701,51
1,Category 702,65
1,Category 703,2
1,Category 704,10
1,Category 705,50
1,Category 706,3
1,Category 707,42
1,Category 708,23
1,Category 709,75
1,Category 710,80
1,Category 711,61
1,Category 712,24
1,Category 713,59
1,Category 714,94
1,Category 715,17
1,Category 716,46
1,Category 717,54
1,Category 718,10
1,Category 719,26
1,Category 720,40
1,Category 721,
1,Category 722,
1,Category 723,15
1,Category 724,66
1,Category 725,14
1,Category 726,
1,Category 727,
1,Category 728,78
1,Category 729,
1,Category 730,12
1,Category 731,
1,Category 732,69
1,Category 733,
1,Category 734,19
1,Category 735,82
1,Category 736,86
1,Category 737,46
1,Category 738,
1,Category 739,9
1,Category 740,
1,Category 741,12
1,Category 742,60
1,Category 743,
1,Category 744,
1,Category 745,40
1,Category 746,93
1,Category 747,43
1,Category 748,
1,Category 749,
1,Category 750,37
1,Category 751,76
1,Category 752,12
1,Category 753,95
1,Category 754,54
1,Category 755,83
1,Category 756,81
1,Category 757,31
1,Category 758,41
1,Category 759,99
1,Category 760,
1,Category 761,55
1,Category 762,8
1,Category 763,99
1,Category 764,7
1,Category 765,75
1,Category 766,
1,Category 767,66
1,Category 768,47
1,Category 769,70
1,Category 770,
1,Category 771,51
1,Category 772,1
1,Category 773,15
1,Category 774,49
1,Category 775,99
1,Category 776,20
1,Category 777,53
1,Category 778,
1,Category 779,19
1,Category 780,89
1,Category 781,96
1,Category 782,
1,Category 783,79
1,Category 784,
1,Category 785,81
1,Category 786,71
1,Category 787,99
1,Category 788,
1,Category 789,92
1,Category 790,68
1,Category 791,12
1,Category 792,63
1,Category 793,33
1,Category 794,84
1,Category 795,
1,Category 796,4
1,Category 797,14
1,Category 798,
1,Category 799,37
1,Category 800,19
1,Category 801,11
1,Category 802,40
1,Category 803,48
1,Category 804,52
1,Category 805,93
1,Category 806,59
1,Category 807,44
1,Category 808,45
1,Category 809,
1,Category 810,13
1,Category 811,99
1,Category 812,38
1,Category 813,25
1,Category 814,66
1,Category 815,98
1,Category 816,96
1,Category 817,37
1,Category 818,16
1,Category 819,14
1,Category 820,98
1,Category 821,22
1,Category 822,
1,Category 823,33
1,Category 824,50
1,Category 825,76
1,Category 826,36
1,Category 827,38
1,Category 828,
1,Category 829,46
1,Category 830,92
1,Category 831,86
1,Category 832,21
1,Category 833,17
1,Category 834,44
1,Category 835,51
1,Category 836,5
1,Category 837,81
1,Category 838,22
1,Category 839,26
1,Category 840,34
1,Category 841,21
1,Category 842,84
1,Category 843,97
1,Category 844,13
1,Category 845,91
1,Category 846,52
1,Category 847,91
1,Category 848,72
1,Category 849,30
1,Category 850,
1,Category 851,6
1,Category 852,36
1,Category 853,62
1,Category 854,68
1,Category 855,47
1,Category 856,76
1,Category 857,71
1,Category 858,77
1,Category 859,6
1,Category 860,20
1,Category 861,21
1,Category 862,16
1,Category 863,77
1,Category 864,76
1,Category 865,66
1,Category 866,98
1,Category 867,82
1,Category 868,48
1,Category 869,
1,Category 870,
1,Category 871,60
1,Category 872,
1,Category 873,
1,Category 874,33
1,Category 875,
1,Category 876,
1,Category 877,97
1,Category 878,
1,Category 879,
1,Category 880,
1,Category 881,85
1,Category 882,97
1,Category 883,
1,Category 884,71
1,Category 885,
1,Category 886,79
1,Category 887,33
1,Category 888,63
1,Category 889,21
1,Category 890,13
1,Category 891,15
1,Category 892,66
1,Category 893,60
1,Category 894,78
1,Category 895,49
1,Category 896,10
1,Category 897,
1,Category 898,42
1,Category 899,70
1,Category 900,2
1,Category 901,70
1,Category 902,92
1,Category 903,63
1,Category 904,31
1,Category 905,53
1,Category 906,
1,Category 907,32
1,Category 908,29
1,Category 909,33
1,Category 910,
1,Category 911,81
1,Category 912,57
1,Category 913,97
1,Category 914,5
1,Category 915,49
1,Category 916,23
1,Category 917,45
1,Category 918,44
1,Category 919,66
1,Category 920,54
1,Category 921,97
1,Category 922,9
1,Category 923,11
1,Category 924,94
1,Category 925,42
1,Category 926,98
1,Category 927,92
1,Category 928,
1,Category 929,88
1,Category 930,
1,Category 931,51
1,Category 932,75
1,Category 933,94
1,Category 934,40
1,Category 935,18
1,Category 936,37
1,Category 937,98
1,Category 938,35
1,Category 939,
1,Category 940,
1,Category 941,
1,Category 942,11
1,Category 943,49
1,Category 944,87
1,Category 945,
1,Category 946,30
1,Category 947,61
1,Category 948,97
1,Category 949,
1,Category 950,78
1,Category 951,80
1,Category 952,23
1,Category 953,31
1,Category 954,79
1,Category 955,34
1,Category 956,10
1,Category 957,11
1,Category 958,33
1,Category 959,
1,Category 960,48
1,Category 961,70
1,Category 962,20
1,Category 963,31
1,Category 964,29
1,Category 965,71
1,Category 966,72
1,Category 967,
1,Category 968,
1,Category 969,
1,Category 970,37
1,Category 971,87
1,Category 972,71
1,Category 973,35
1,Category 974,75
1,Category 975,84
1,Category 976,30
1,Category 977,47
1,Category 978,13
1,Category 979,4
1,Category 980,38
1,Category 981,52
1,Category 982,74
1,Category 983,67
1,Category 984,18
1,Category 985,33
1,Category 986,50
1,Category 987,54
1,Category 988,87
1,Category 989,95
1,Category 990,
1,Category 991,37
1,Category 992,30
1,Category 993,
1,Category 994,
1,Category 995,94
1,Category 996,63
1,Category 997,20
1,Category 998,25
1,Category 999,95
1,Category 1000,58
2,Category 1,69
2,Category 2,0
2,Category 3,96
2,Category 4,80
2,Category 5,
2,Category 6,30
2,Category 7,
2,Category 8,59
2,Category 9,95
2,Category 10,
2,Category 11,18
2,Category 12,
2,Category 13,
2,Category 14,75
2,Category 15,49
2,Category 16,
2,Category 17,57
2,Category 18,78
2,Category 19,80
2,Category 20,34
2,Category 21,49
2,Category 22,25
2,Category 23,68
2,Category 24,51
2,Category 25,76
2,Category 26,6
2,Category 27,80
2,Category 28,53
2,Category 29,78
2,Category 30,6
2,Category 31,87
2,Category 32,56
2,Category 33,99
2,Category 34,55
2,Category 35,92
2,Category 36,89
2,Category 37,61
2,Category 38,73
2,Category 39,
2,Category 40,87
2,Category 41,42
2,Category 42,16
2,Category 43,
2,Category 44,14
2,Category 45,35
2,Category 46,95
2,Category 47,10
2,Category 48,99
2,Category 49,76
2,Category 50,94
2,Category 51,
2,Category 52,23
2,Category 53,
2,Category 54,45
2,Category 55,71
2,Category 56,
2,Category 57,22
2,Category 58,
2,Category 59,
2,Category 60,
2,Category 61,
2,Category 62,57
2,Category 63,45
2,Category 64,62
2,Category 65,40
2,Category 66,96
2,Category 67,79
2,Category 68,21
2,Category 69,
2,Category 70,4
2,Category 71,73
2,Category 72,31
2,Category 73,
2,Category 74,58
2,Category 75,54
2,Category 76,0
2,Category 77,46
2,Category 78,52
2,Category 79,78
2,Category 80,
2,Category 81,
2,Category 82,84
2,Category 83,73
2,Category 84,40
2,Category 85,8
2,Category 86,74
2,Category 87,33
2,Category 88,99
2,Category 89,33
2,Category 90,
2,Category 91,3
2,Category 92,62
2,Category 93,8
2,Category 94,48
2,Category 95,99
2,Category 96,
2,Category 97,6
2,Category 98,25
2,Category 99,98
2,Category 100,31
2,Category 101,78
2,Category 102,65
2,Category 103,25
2,Category 104,52
2,Category 105,24
2,Category 106,66
2,Category 107,42
2,Category 108,15
2,Category 109,99
2,Category 110,10
2,Category 111,33
2,Category 112,
2,Category 113,72
2,Category 114,
2,Category 115,85
2,Category 116,20
2,Category 117,99
2,Category 118,
2,Category 119,
2,Category 120,6
2,Category 121,31
2,Category 122,24
2,Category 123,59
2,Category 124,
2,Category 125,91
2,Category 126,
2,Category 127,85
2,Category 128,60
2,Category 129,86
2,Category 130,23
2,Category 131,43
2,Category 132,69
2,Category 133,95
2,Category 134,
2,Category 135,3
2,Category 136,
2,Category 137,2
2,Category 138,53
2,Category 139,60
2,Category 140,39
2,Category 141,92
2,Category 142,6
2,Category 143,25
2,Category 144,41
2,Category 145,
2,Category 146,83
2,Category 147,
2,Category 148,33
2,Category 149,77
2,Category 150,52
2,Category 151,13
2,Category 152,25
2,Category 153,70
2,Category 154,21
2,Category 155,45
2,Category 156,63
2,Category 157,
2,Category 158,13
2,Category 159,16
2,Category 160,7
2,Category 161,
2,Category 162,62
2,Category 163,90
2,Category 164,90
2,Category 165,64
2,Category 166,22
2,Category 167,11
2,Category 168,96
2,Category 169,48
2,Category 170,
2,Category 171,
2,Category 172,64
2,Category 173,34
2,Category 174,21
2,Category 175,75
2,Category 176,
2,Category 177,80
2,Category 178,13
2,Category 179,66
2,Category 180,34
2,Category 181,41
2,Category 182,
2,Category 183,5
2,Category 184,14
2,Category 185,
2,Category 186,
2,Category 187,11
2,Category 188,86
2,Category 189,35
2,Category 190,16
2,Category 191,
2,Category 192,
2,Category 193,39
2,Category 194,53
2,Category 195,
2,Category 196,0
2,Category 197,4
2,Category 198,
2,Category 199,56
2,Category 200,
2,Category 201,87
2,Category 202,40
2,Category 203,
2,Category 204,
2,Category 205,21
2,Category 206,34
2,Category 207,80
2,Category 208,50
2,Category 209,71
2,Category 210,49
2,Category 211,59
2,Category 212,
2,Category 213,7
2,Category 214,0
2,Category 215,66
2,Category 216,26
2,Category 217,
2,Category 218,77
2,Category 219,27
2,Category 220,20
2,Category 221,46
2,Category 222,62
2,Category 223,34
2,Category 224,18
2,Category 225,24
2,Category 226,78
2,Category 227,74
2,Category 228,40
2,Category 229,55
2,Category 230,24
2,Category 231,95
2,Category 232,29
2,Category 233,5
2,Category 234,82
2,Category 235,
2,Category 236,94
2,Category 237,46
2,Category 238,65
2,Category 239,6
2,Category 240,87
2,Category 241,66
2,Category 242,2
2,Category 243,20
2,Category 244,62
2,Category 245,63
2,Category 246,63
2,Category 247,15
2,Category 248,35
2,Category 249,31
2,Category 250,60
2,Category 251,35
2,Category 252,
2,Category 253,62
2,Category 254,99
2,Category 255,72
2,Category 256,81
2,Category 257,63
2,Category 258,
2,Category 259,94
2,Category 260,26
2,Category 261,60
2,Category 262,74
2,Category 263,23
2,Category 264,46
2,Category 265,17
2,Category 266,35
2,Category 267,10
2,Category 268,22
2,Category 269,27
2,Category 270,
2,Category 271,
2,Category 272,
2,Category 273,
2,Category 274,55
2,Category 275,
2,Category 276,75
2,Category 277,
2,Category 278,53
2,Category 279,39
2,Category 280,12
2,Category 281,72
2,Category 282,76
2,Category 283,14
2,Category 284,96
2,Category 285,
2,Category 286,
2,Category 287,
2,Category 288,95
2,Category 289,
2,Category 290,17
2,Category 291,97
2,Category 292,29
2,Category 293,51
2,Category 294,94
2,Category 295,57
2,Category 296,79
2,Category 297,0
2,Category 298,53
2,Category 299,
2,Category 300,78
2,Category 301,4
2,Category 302,68
2,Category 303,80
2,Category 304,4
2,Category 305,23
2,Category 306,
2,Category 307,44
2,Category 308,88
2,Category 309,33
2,Category 310,44
2,Category 311,
2,Category 312,83
2,Category 313,59
2,Category 314,49
2,Category 315,38
2,Category 316,46
2,Category 317,52
2,Category 318,81
2,Category 319,1
2,Category 320,97
2,Category 321,64
2,Category 322,36
2,Category 323,38
2,Category 324,46
2,Category 325,48
2,Category 326,45
2,Category 327,95
2,Category 328,73
2,Category 329,11
2,Category 330,86
2,Category 331,
2,Category 332,
2,Category 333,84
2,Category 334,12
2,Category 335,81
2,Category 336,1
2,Category 337,68
2,Category 338,
2,Category 339,87
2,Category 340,75
2,Category 341,60
2,Category 342,
2,Category 343,77
2,Category 344,64
2,Category 345,88
2,Category 346,73
2,Category 347,87
2,Category 348,70
2,Category 349,54
2,Category 350,86
2,Category 351,88
2,Category 352,62
2,Category 353,7
2,Category 354,
2,Category 355,
2,Category 356,96
2,Category 357,6
2,Category 358,83
2,Category 359,52
2,Category 360,10
2,Category 361,65
2,Category 362,88
2,Category 363,57
2,Category 364,95
2,Category 365,15
2,Category 366,69
2,Category 367,
2,Category 368,
2,Category 369,3
2,Category 370,9
2,Category 371,13
2,Category 372,47
2,Category 373,93
2,Category 374,92
2,Category 375,49
2,Category 376,17
2,Category 377,89
2,Category 378,13
2,Category 379,6
2,Category 380,38
2,Category 381,84
2,Category 382,
2,Category 383,11
2,Category 384,13
2,Category 385,29
2,Category 386,44
2,Category 387,96
2,Category 388,81
2,Category 389,2
2,Category 390,61
2,Category 391,97
2,Category 392,
2,Category 393,98
2,Category 394,
2,Category 395,87
2,Category 396,22
2,Category 397,80
2,Category 398,
2,Category 399,
2,Category 400,13
2,Category 401,95
2,Category 402,23
2,Category 403,
2,Category 404,49
2,Category 405,77
2,Category 406,66
2,Category 407,34
2,Category 408,
2,Category 409,55
2,Category 410,19
2,Category 411,68
2,Category 412,58
2,Category 413,21
2,Category 414,43
2,Category 415,22
2,Category 416,50
2,Category 417,6
2,Category 418,23
2,Category 419,
2,Category 420,35
2,Category 421,40
2,Category 422,40
2,Category 423,
2,Category 424,52
2,Category 425,
2,Category 426,27
2,Category 427,56
2,Category 428,53
2,Category 429,
2,Category 430,56
2,Category 431,
2,Category 432,
2,Category 433,48
2,Category 434,15
2,Category 435,
2,Category 436,71
2,Category 437,20
2,Category 438,90
2,Category 439,
2,Category 440,
2,Category 441,51
2,Category 442,45
2,Category 443,
2,Category 444,81
2,Category 445,81
2,Category 446,33
2,Category 447,9
2,Category 448,
2,Category 449,43
2,Category 450,77
2,Category 451,
2,Category 452,28
2,Category 453,54
2,Category 454,86
2,Category 455,35
2,Category 456,
2,Category 457,
2,Category 458,8
2,Category 459,96
2,Category 460,29
2,Category 461,94
2,Category 462,45
2,Category 463,65
2,Category 464,13
2,Category 465,61
2,Category 466,22
2,Category 467,93
2,Category 468,
2,Category 469,66
2,Category 470,58
2,Category 471,88
2,Category 472,61
2,Category 473,30
2,Category 474,29
2,Category 475,67
2,Category 476,
2,Category 477,58
2,Category 478,
2,Category 479,10
2,Category 480,35
2,Category 481,
2,Category 482,19
2,Category 483,19
2,Category 484,11
2,Category 485,
2,Category 486,
2,Category 487,32
2,Category 488,12
2,Category 489,29
2,Category 490,37
2,Category 491,
2,Category 492,44
2,Category 493,33
2,Category 494,71
2,Category 495,33
2,Category 496,75
2,Category 497,42
2,Category 498,28
2,Category 499,71
2,Category 500,0
2,Category 501,92
2,Category 502,12
2,Category 503,27
2,Category 504,
2,Category 505,49
2,Category 506,78
2,Category 507,54
2,Category 508,6
2,Category 509,26
2,Category 510,
2,Category 511,
2,Category 512,80
2,Category 513,25
2,Category 514,
2,Category 515,50
2,Category 516,45
2,Category 517,84
2,Category 518,
2,Category 519,17
2,Category 520,77
2,Category 521,74
2,Category 522,25
2,Category 523,90
2,Category 524,2
2,Category 525,4
2,Category 526,5
2,Category 527,90
2,Category 528,24
2,Category 529,
2,Category 530,83
2,Category 531,50
2,Category 532,70
2,Category 533,10
2,Category 534,
2,Category 535,13
2,Category 536,90
2,Category 537,3
2,Category 538,67
2,Category 539,93
2,Category 540,
2,Category 541,14
2,Category 542,1
2,Category 543,58
2,Category 544,78
2,Category 545,2
2,Category 546,15
2,Category 547,58
2,Category 548,85
2,Category 549,97
2,Category 550,79
2,Category 551,81
2,Category 552,90
2,Category 553,51
2,Category 554,3
2,Category 555,66
2,Category 556,39
2,Category 557,66
2,Category 558,63
2,Category 559,19
2,Category 560,
2,Category 561,47
2,Category 562,5
2,Category 563,
2,Category 564,89
2,Category 565,0
2,Category 566,4
2,Category 567,44
2,Category 568,45
2,Category 569,81
2,Category 570,
2,Category 571,0
2,Category 572,27
2,Category 573,74
2,Category 574,98
2,Category 575,60
2,Category 576,87
2,Category 577,91
2,Category 578,35
2,Category 579,8
2,Category 580,27
2,Category 581,6
2,Category 582,46
2,Category 583,79
2,Category 584,72
2,Category 585,88
2,Category 586,
2,Category 587,38
2,Category 588,
